text,label,word_count,cleaned_text,tokens,token_count
"The job loss reflected in Friday's report is a shock that is unprecedented, as is the uncertainty surrounding it-wh… https://t.co/cXIDgk5QcD",0,20,"the job loss reflected in friday's report is a shock that is unprecedented, as is the uncertainty surrounding it- wh","['the', 'job', 'loss', 'reflected', 'in', ""friday's"", 'report', 'is', 'a', 'shock', 'that', 'is', 'unprecedented', 'as', 'is', 'the', 'uncertainty', 'surrounding', 'it-', 'wh']",20
Medical Marijuana Investors: The Floodgates Are Open,2,7,medical marijuana investors the floodgates are open,"['medical', 'marijuana', 'investors', 'the', 'floodgates', 'are', 'open']",7
Dragonfly collaborates with Abbvie for autoimmune diseases and oncology,2,9,dragonfly collaborates with abbvie for autoimmune diseases and oncology,"['dragonfly', 'collaborates', 'with', 'abbvie', 'for', 'autoimmune', 'diseases', 'and', 'oncology']",9
Stock Market Update: Trade balance deficit narrows in November,1,9,stock market update trade balance deficit narrows in november,"['stock', 'market', 'update', 'trade', 'balance', 'deficit', 'narrows', 'in', 'november']",9
Read the latest FOMC statement https://t.co/VCPbCo6m61,2,6,read the latest fomc statement,"['read', 'the', 'latest', 'fomc', 'statement']",5
Fed's Bullard: Don't take the economy's temperature until July 1 https://t.co/qqv1J5MgAd,2,11,fed's bullard don't take the economy's temperature until july 1,"[""fed's"", 'bullard', ""don't"", 'take', 'the', ""economy's"", 'temperature', 'until', 'july', '1']",10
JetBlue Founder Says New ‘Breeze Air’ on Track to Fly This Year,2,12,jetblue founder says new breeze air on track to fly this year,"['jetblue', 'founder', 'says', 'new', 'breeze', 'air', 'on', 'track', 'to', 'fly', 'this', 'year']",12
"“You can’t contradict that these numbers are the best numbers of our lives,” @MadMoneyOnCNBC’s @JimCramer said in r… https://t.co/afwYjeGLCC",2,19,"you can t contradict that these numbers are the best numbers of our lives, s said in r","['you', 'can', 't', 'contradict', 'that', 'these', 'numbers', 'are', 'the', 'best', 'numbers', 'of', 'our', 'lives', 's', 'said', 'in', 'r']",18
"Stifel Upgrades Wendy's, Bullish On Breakfast And Digital Prospects",1,9,"stifel upgrades wendy's, bullish on breakfast and digital prospects","['stifel', 'upgrades', ""wendy's"", 'bullish', 'on', 'breakfast', 'and', 'digital', 'prospects']",9
Hedge Funds Are Dumping NIO Limited (NIO),0,7,hedge funds are dumping nio limited nio,"['hedge', 'funds', 'are', 'dumping', 'nio', 'limited', 'nio']",7
The Federal Reserve on Monday announced a massive second wave of initiatives to support a shuttered U.S. economy https://t.co/24MqL6jTmM,2,19,the federal reserve on monday announced a massive second wave of initiatives to support a shuttered u.s. economy,"['the', 'federal', 'reserve', 'on', 'monday', 'announced', 'a', 'massive', 'second', 'wave', 'of', 'initiatives', 'to', 'support', 'a', 'shuttered', 'u.s', 'economy']",18
"U.S. Job Report Looks Likely to Show Hot 2020 Start, Cooler Past",1,12,"u.s. job report looks likely to show hot 2020 start, cooler past","['u.s', 'job', 'report', 'looks', 'likely', 'to', 'show', 'hot', '2020', 'start', 'cooler', 'past']",12
Stock-index futures pare gains after report of China concerns over trade deal,0,12,stock-index futures pare gains after report of china concerns over trade deal,"['stock-index', 'futures', 'pare', 'gains', 'after', 'report', 'of', 'china', 'concerns', 'over', 'trade', 'deal']",12
"The global economy and earnings will stabilize in 2020, allowing riskier assets to flourish even with central banks… https://t.co/pWimpjtCke",1,19,"the global economy and earnings will stabilize in 2020, allowing riskier assets to flourish even with central banks","['the', 'global', 'economy', 'and', 'earnings', 'will', 'stabilize', 'in', '2020', 'allowing', 'riskier', 'assets', 'to', 'flourish', 'even', 'with', 'central', 'banks']",18
Quanterix maintained as outperform with $35 price target at Leerink,1,10,quanterix maintained as outperform with $35 price target at leerink,"['quanterix', 'maintained', 'as', 'outperform', 'with', '$35', 'price', 'target', 'at', 'leerink']",10
BOK Financial goes ex-dividend tomorrow,2,5,bok financial goes ex-dividend tomorrow,"['bok', 'financial', 'goes', 'ex-dividend', 'tomorrow']",5
"$SPSK - Islamic Bond ETF Covers Unique ESG Market, For A Price. https://t.co/ykp5jaMkCj #investing #markets #trading",2,16,"$SPSK - islamic bond etf covers unique esg market, for a price. investing markets trading","['$SPSK', '-', 'islamic', 'bond', 'etf', 'covers', 'unique', 'esg', 'market', 'for', 'a', 'price', 'investing', 'markets', 'trading']",15
In case you need another reason to delete your Facebook: https://t.co/YEEHiptvAV,0,11,in case you need another reason to delete your facebook,"['in', 'case', 'you', 'need', 'another', 'reason', 'to', 'delete', 'your', 'facebook']",10
United Bankshares to buy Carolina Financial in a stock deal valued at $1.1 bln,2,14,united bankshares to buy carolina financial in a stock deal valued at $1.1 bln,"['united', 'bankshares', 'to', 'buy', 'carolina', 'financial', 'in', 'a', 'stock', 'deal', 'valued', 'at', '$1.1', 'bln']",14
Activision Blizzard Plans to Release Several Video Game Remakes in 2020,2,11,activision blizzard plans to release several video game remakes in 2020,"['activision', 'blizzard', 'plans', 'to', 'release', 'several', 'video', 'game', 'remakes', 'in', '2020']",11
Global Markets: Asian shares mixed as doubts grow on elusive U.S.-China trade deal,0,13,global markets asian shares mixed as doubts grow on elusive u.s.-china trade deal,"['global', 'markets', 'asian', 'shares', 'mixed', 'as', 'doubts', 'grow', 'on', 'elusive', 'u.s.-china', 'trade', 'deal']",13
Canadian National Laying Off Workers,0,5,canadian national laying off workers,"['canadian', 'national', 'laying', 'off', 'workers']",5
Fourth-quarter U.S. productivity rises 1.4%,1,5,fourth-quarter u.s. productivity rises 1.4%,"['fourth-quarter', 'u.s', 'productivity', 'rises', '1.4%']",5
Unisys stock price target raised to $21 from $18 at Sidoti & Co.,1,13,unisys stock price target raised to $21 from $18 at sidoti co.,"['unisys', 'stock', 'price', 'target', 'raised', 'to', '$21', 'from', '$18', 'at', 'sidoti', 'co']",12
Kellogg -6% after profit outlook disappoints,0,6,kellogg -6% after profit outlook disappoints,"['kellogg', '-6%', 'after', 'profit', 'outlook', 'disappoints']",6
Ashok Leyland Ties Up With lClCl Bank For Vehicle Loans,2,10,ashok leyland ties up with lclcl bank for vehicle loans,"['ashok', 'leyland', 'ties', 'up', 'with', 'lclcl', 'bank', 'for', 'vehicle', 'loans']",10
Home Depot stock price target cut to $237 from $240 at Instinet,0,12,home depot stock price target cut to $237 from $240 at instinet,"['home', 'depot', 'stock', 'price', 'target', 'cut', 'to', '$237', 'from', '$240', 'at', 'instinet']",12
$WU - Western Union Q4 2019 Earnings Preview https://t.co/peFQmNJdnG,2,9,$WU - western union q4 2019 earnings preview,"['$WU', '-', 'western', 'union', 'q4', '2019', 'earnings', 'preview']",8
Red-Hot Adobe Stock Sees Surge in Bullish Betting,1,8,red-hot adobe stock sees surge in bullish betting,"['red-hot', 'adobe', 'stock', 'sees', 'surge', 'in', 'bullish', 'betting']",8
"NEW Global Electrification Platform, a one-stop-shop for: 

✅ public #data
✅ modeling tools
✅ Open Source, multifun… https://t.co/L4lHjDTMXc",2,18,"new global electrification platform, a one-stop-shop for public data modeling tools open source, multifun","['new', 'global', 'electrification', 'platform', 'a', 'one-stop-shop', 'for', 'public', 'data', 'modeling', 'tools', 'open', 'source', 'multifun']",14
"Premium Earnings 2-10-20: Mercadolibre and Under Armour, on the blog and here https://t.co/XccXiIk8le",2,13,"premium earnings 2-10-20 mercadolibre and under armour, on the blog and here","['premium', 'earnings', '2-10-20', 'mercadolibre', 'and', 'under', 'armour', 'on', 'the', 'blog', 'and', 'here']",12
"Commonwealth Bank of Australia : Capital, Margins in Focus -- Earnings Preview #CommonwealthBankofAustralia #Stock… https://t.co/L8gy222ZI6",2,15,"commonwealth bank of australia capital, margins in focus -- earnings preview commonwealthbankofaustralia stock","['commonwealth', 'bank', 'of', 'australia', 'capital', 'margins', 'in', 'focus', '--', 'earnings', 'preview', 'commonwealthbankofaustralia', 'stock']",13
"Total beats quarterly forecasts despite low oil price, lifts payout",1,10,"total beats quarterly forecasts despite low oil price, lifts payout","['total', 'beats', 'quarterly', 'forecasts', 'despite', 'low', 'oil', 'price', 'lifts', 'payout']",10
Verseon : Update on Tender Offer #Verseon #Stock #MarketScreener https://t.co/5vVX6gi1DV https://t.co/Y4SvsAVe5U,2,11,verseon update on tender offer verseon stock marketscreener,"['verseon', 'update', 'on', 'tender', 'offer', 'verseon', 'stock', 'marketscreener']",8
"Kellogg Q4 Asia Pacific, Middle East and Africa sales up 8%",1,11,"kellogg q4 asia pacific, middle east and africa sales up 8%","['kellogg', 'q4', 'asia', 'pacific', 'middle', 'east', 'and', 'africa', 'sales', 'up', '8%']",11
$INPX is gaining momentum......,1,4,$INPX is gaining momentum......,"['$INPX', 'is', 'gaining', 'momentum']",4
Ebay sells StubHub to ticket marketplace Viagogo for $4.05 billion in cash,2,12,ebay sells stubhub to ticket marketplace viagogo for $4.05 billion in cash,"['ebay', 'sells', 'stubhub', 'to', 'ticket', 'marketplace', 'viagogo', 'for', '$4.05', 'billion', 'in', 'cash']",12
"""They All Knew!"" - Chinese Furious At Virus-Fighting Officials Who Lied About Human Transmission https://t.co/YxHOkI21u1",2,15,they all knew - chinese furious at virus-fighting officials who lied about human transmission,"['they', 'all', 'knew', '-', 'chinese', 'furious', 'at', 'virus-fighting', 'officials', 'who', 'lied', 'about', 'human', 'transmission']",14
"Billboard adding Apple, YouTube plays to Hot 100",2,8,"billboard adding apple, youtube plays to hot 100","['billboard', 'adding', 'apple', 'youtube', 'plays', 'to', 'hot', '100']",8
BQuick On Nov. 25: Top 10 Stories In Under 10 Minutes  ,2,11,bquick on nov. 25 top 10 stories in under 10 minutes,"['bquick', 'on', 'nov', '25', 'top', '10', 'stories', 'in', 'under', '10', 'minutes']",11
"$BEAT seems extremely cheap, have not looked into why it has lagged so much this year, but screens well",2,19,"$BEAT seems extremely cheap, have not looked into why it has lagged so much this year, but screens well","['$BEAT', 'seems', 'extremely', 'cheap', 'have', 'not', 'looked', 'into', 'why', 'it', 'has', 'lagged', 'so', 'much', 'this', 'year', 'but', 'screens', 'well']",19
Here’s What Analysts Are Saying About Hong Kong Stocks for 2020,2,11,here s what analysts are saying about hong kong stocks for 2020,"['here', 's', 'what', 'analysts', 'are', 'saying', 'about', 'hong', 'kong', 'stocks', 'for', '2020']",12
Fiat Fights Back: Chairman Rejects GM's Allegations Of Union Bribery https://t.co/Zz0vW9I0Cl,2,11,fiat fights back chairman rejects gm's allegations of union bribery,"['fiat', 'fights', 'back', 'chairman', 'rejects', ""gm's"", 'allegations', 'of', 'union', 'bribery']",10
"Shares gain, but doubts linger on U.S.-China deal, oil rises",2,10,"shares gain, but doubts linger on u.s.-china deal, oil rises","['shares', 'gain', 'but', 'doubts', 'linger', 'on', 'u.s.-china', 'deal', 'oil', 'rises']",10
$IWM back above 8 EMA. Closing matters.. https://t.co/1aDgHnJKPx,1,8,$IWM back above 8 ema. closing matters..,"['$IWM', 'back', 'above', '8', 'ema', 'closing', 'matters']",7
"$ANAB (+11.8% pre) Form SC 13G ANAPTYSBIO, INC Filed by: TANG CAPITAL PARTNERS LP

https://t.co/n2fsglvR85",1,15,"$ANAB 11.8% pre form sc 13g anaptysbio, inc filed by tang capital partners lp","['$ANAB', '11.8%', 'pre', 'form', 'sc', '13g', 'anaptysbio', 'inc', 'filed', 'by', 'tang', 'capital', 'partners', 'lp']",14
"Asian Insurers Look More to Passive, Alternative Strategies: Broadridge",2,9,"asian insurers look more to passive, alternative strategies broadridge","['asian', 'insurers', 'look', 'more', 'to', 'passive', 'alternative', 'strategies', 'broadridge']",9
Dana extends buyback program,1,4,dana extends buyback program,"['dana', 'extends', 'buyback', 'program']",4
$ACBI $OPY $LEAF - OPY and LEAF among financial gainers; CACC leads losers https://t.co/oQFjeHivYR,2,14,$ACBI $OPY $LEAF - opy and leaf among financial gainers cacc leads losers,"['$ACBI', '$OPY', '$LEAF', '-', 'opy', 'and', 'leaf', 'among', 'financial', 'gainers', 'cacc', 'leads', 'losers']",13
"Dec. WTI oil at $55.12/bbl in electronic trade, down from $55.21 Nymex settlement",0,13,"dec. wti oil at $55.12 bbl in electronic trade, down from $55.21 nymex settlement","['dec', 'wti', 'oil', 'at', '$55.12', 'bbl', 'in', 'electronic', 'trade', 'down', 'from', '$55.21', 'nymex', 'settlement']",14
"Boasting A 15% Return On Equity, Is Corporate Travel Management Limited (ASX:CTD) A Top Quality Stock?",2,16,"boasting a 15% return on equity, is corporate travel management limited asx ctd a top quality stock","['boasting', 'a', '15%', 'return', 'on', 'equity', 'is', 'corporate', 'travel', 'management', 'limited', 'asx', 'ctd', 'a', 'top', 'quality', 'stock']",17
Australian PM Scott Morrison reaches A$2 billion ($1.3 billion) energy deal with the country's most populous state... https://t.co/8Wom4ct7CB,2,18,australian pm scott morrison reaches a$2 billion $1.3 billion energy deal with the country's most populous state...,"['australian', 'pm', 'scott', 'morrison', 'reaches', 'a$2', 'billion', '$1.3', 'billion', 'energy', 'deal', 'with', 'the', ""country's"", 'most', 'populous', 'state']",17
Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,0,13,children's place price target cut to $80 from $105 at monness crespi hardt,"[""children's"", 'place', 'price', 'target', 'cut', 'to', '$80', 'from', '$105', 'at', 'monness', 'crespi', 'hardt']",13
Oil's Biggest Bullish Boost Since 2016 Scores on Trade Armistice,1,10,oil's biggest bullish boost since 2016 scores on trade armistice,"[""oil's"", 'biggest', 'bullish', 'boost', 'since', '2016', 'scores', 'on', 'trade', 'armistice']",10
Exxon and Chevron Targeted by Climate-Activist Shareholder Group,2,8,exxon and chevron targeted by climate-activist shareholder group,"['exxon', 'and', 'chevron', 'targeted', 'by', 'climate-activist', 'shareholder', 'group']",8
"Germany Announces ""Limitless"" Aid Program For Small Business: SBA Are You Listening?  https://t.co/VnhWTOsNUo",2,13,germany announces limitless aid program for small business sba are you listening,"['germany', 'announces', 'limitless', 'aid', 'program', 'for', 'small', 'business', 'sba', 'are', 'you', 'listening']",12
"Chile Stuns Markets as Unemployment Falls, Manufacturing Rises",1,8,"chile stuns markets as unemployment falls, manufacturing rises","['chile', 'stuns', 'markets', 'as', 'unemployment', 'falls', 'manufacturing', 'rises']",8
"$NAT - Nordic American Tankers EPS misses by $0.04, misses on revenue https://t.co/zgy3g3ADLV",0,13,"$NAT - nordic american tankers eps misses by $0.04, misses on revenue","['$NAT', '-', 'nordic', 'american', 'tankers', 'eps', 'misses', 'by', '$0.04', 'misses', 'on', 'revenue']",12
How a Supreme Court case could change how cities treat the homeless https://t.co/hIujtrIKUX via @BW,2,15,how a supreme court case could change how cities treat the homeless via,"['how', 'a', 'supreme', 'court', 'case', 'could', 'change', 'how', 'cities', 'treat', 'the', 'homeless', 'via']",13
$DIS $SNE - Disney now sees $110M-$120M for 'Frozen II' https://t.co/I59tzaKreO,1,11,$DIS $SNE - disney now sees $110m-$120m for 'frozen ii',"['$DIS', '$SNE', '-', 'disney', 'now', 'sees', '$110m-$120m', 'for', ""'frozen"", ""ii'""]",10
VF Corporation Provides Update on Business Impact of Coronavirus in China,2,11,vf corporation provides update on business impact of coronavirus in china,"['vf', 'corporation', 'provides', 'update', 'on', 'business', 'impact', 'of', 'coronavirus', 'in', 'china']",11
$MUX - McEwen Mining: The Writing Was On The Wall. Get more info on Seeking Alpha: https://t.co/JLEoBuvS9x #markets #investing #business,2,20,$MUX - mcewen mining the writing was on the wall. get more info on seeking alpha markets investing business,"['$MUX', '-', 'mcewen', 'mining', 'the', 'writing', 'was', 'on', 'the', 'wall', 'get', 'more', 'info', 'on', 'seeking', 'alpha', 'markets', 'investing', 'business']",19
JUST RELEASED: Our newest #EconFocus looks at our fear of #recession. Could our expectations about the economy be s... https://t.co/DMi9fgdNBx,2,20,just released our newest econfocus looks at our fear of recession. could our expectations about the economy be s...,"['just', 'released', 'our', 'newest', 'econfocus', 'looks', 'at', 'our', 'fear', 'of', 'recession', 'could', 'our', 'expectations', 'about', 'the', 'economy', 'be', 's']",19
"$NYCB - New York Community Bancorp, Inc. 2019 Q4 - Results - Earnings Call Presentation. https://t.co/wXqi8TCrS7 #business #markets #finance",2,19,"$NYCB - new york community bancorp, inc. 2019 q4 - results - earnings call presentation. business markets finance","['$NYCB', '-', 'new', 'york', 'community', 'bancorp', 'inc', '2019', 'q4', '-', 'results', '-', 'earnings', 'call', 'presentation', 'business', 'markets', 'finance']",18
$BRFS - Swine Fever And Self-Improvement Leading To Real Progress At BRF. Sign up for updates on Seeking Alpha!… https://t.co/MnVCdaz0bf,1,20,$BRFS - swine fever and self-improvement leading to real progress at brf. sign up for updates on seeking alpha,"['$BRFS', '-', 'swine', 'fever', 'and', 'self-improvement', 'leading', 'to', 'real', 'progress', 'at', 'brf', 'sign', 'up', 'for', 'updates', 'on', 'seeking', 'alpha']",19
$AJX - Great Ajax selling stake in Gaea unit https://t.co/ZpFNWzgGEN,2,10,$AJX - great ajax selling stake in gaea unit,"['$AJX', '-', 'great', 'ajax', 'selling', 'stake', 'in', 'gaea', 'unit']",9
An Intrinsic Calculation For American Airlines Group Inc. (NASDAQ:AAL) Suggests It's 45% Undervalued,2,13,an intrinsic calculation for american airlines group inc. nasdaq aal suggests it's 45% undervalued,"['an', 'intrinsic', 'calculation', 'for', 'american', 'airlines', 'group', 'inc', 'nasdaq', 'aal', 'suggests', ""it's"", '45%', 'undervalued']",14
A Healthy Consumer A Positive For The Economy. Get more updates here: https://t.co/KZX0xmhIm8 #stockmarket #investing #markets,2,16,a healthy consumer a positive for the economy. get more updates here stockmarket investing markets,"['a', 'healthy', 'consumer', 'a', 'positive', 'for', 'the', 'economy', 'get', 'more', 'updates', 'here', 'stockmarket', 'investing', 'markets']",15
"Baidu Leads the Way in Innovation with 5,712 Artificial Intelligence Patent Applications  https://t.co/btciiZtLpZ",1,13,"baidu leads the way in innovation with 5,712 artificial intelligence patent applications","['baidu', 'leads', 'the', 'way', 'in', 'innovation', 'with', '5,712', 'artificial', 'intelligence', 'patent', 'applications']",12
L’Oreal Expects to Outperform Rivals Amid Temporary Virus Hit,1,9,l oreal expects to outperform rivals amid temporary virus hit,"['l', 'oreal', 'expects', 'to', 'outperform', 'rivals', 'amid', 'temporary', 'virus', 'hit']",10
$NVO $NONOF - Novo Nordisk A/S 2019 Q4 - Results - Earnings Call Presentation. https://t.co/zKmyziH4Xg #finance #investing #business,2,18,$NVO $NONOF - novo nordisk a s 2019 q4 - results - earnings call presentation. finance investing business,"['$NVO', '$NONOF', '-', 'novo', 'nordisk', 'a', 's', '2019', 'q4', '-', 'results', '-', 'earnings', 'call', 'presentation', 'finance', 'investing', 'business']",18
What Tesla taught Ford https://t.co/gYHzvB9QRc by @rickjnewman https://t.co/arQvfOYe2K,2,8,what tesla taught ford by,"['what', 'tesla', 'taught', 'ford', 'by']",5
History suggests there's a good chance gold will bounce back strongly after this month's pummeling… https://t.co/2B4ciDnlmW,1,16,history suggests there's a good chance gold will bounce back strongly after this month's pummeling,"['history', 'suggests', ""there's"", 'a', 'good', 'chance', 'gold', 'will', 'bounce', 'back', 'strongly', 'after', 'this', ""month's"", 'pummeling']",15
Alpha Bank reports Q3 results,2,5,alpha bank reports q3 results,"['alpha', 'bank', 'reports', 'q3', 'results']",5
Can Simon Property Group Save Forever 21?,2,7,can simon property group save forever 21,"['can', 'simon', 'property', 'group', 'save', 'forever', '21']",7
"Bitcoin: A Drop Below $8,000 Opens the Doors Toward $5,000",0,10,"bitcoin a drop below $8,000 opens the doors toward $5,000","['bitcoin', 'a', 'drop', 'below', '$8,000', 'opens', 'the', 'doors', 'toward', '$5,000']",10
Yum Brands' stock tumbles as coronavirus and Pizza Hut's weak sales expected to hit 2020 results,0,16,yum brands' stock tumbles as coronavirus and pizza hut's weak sales expected to hit 2020 results,"['yum', ""brands'"", 'stock', 'tumbles', 'as', 'coronavirus', 'and', 'pizza', ""hut's"", 'weak', 'sales', 'expected', 'to', 'hit', '2020', 'results']",16
2020 Q1 Portfolio Review. https://t.co/9fB3ya2wit #trading #stocks #economy,2,8,2020 q1 portfolio review. trading stocks economy,"['2020', 'q1', 'portfolio', 'review', 'trading', 'stocks', 'economy']",7
CVS and Walgreens in red on NY lawsuit over billing practices,0,11,cvs and walgreens in red on ny lawsuit over billing practices,"['cvs', 'and', 'walgreens', 'in', 'red', 'on', 'ny', 'lawsuit', 'over', 'billing', 'practices']",11
FDA accepts Bioepis' application for Avastin biosimilar,1,7,fda accepts bioepis' application for avastin biosimilar,"['fda', 'accepts', ""bioepis'"", 'application', 'for', 'avastin', 'biosimilar']",7
A global guide to stimulus in 2020 https://t.co/aLX622gkjx,2,8,a global guide to stimulus in 2020,"['a', 'global', 'guide', 'to', 'stimulus', 'in', '2020']",7
JUST IN: The S&P 500 rallies 7% to its highest since March 13 https://t.co/RyoffM2Sy1 https://t.co/hv9Lphk30E,1,15,just in the s p 500 rallies 7% to its highest since march 13,"['just', 'in', 'the', 's', 'p', '500', 'rallies', '7%', 'to', 'its', 'highest', 'since', 'march', '13']",14
"""I wasn't there to photograph a woman being beaten."" In 1982, documentary photographer Donna Ferrato took the phot… https://t.co/2SmlNTdDyx",2,19,"i wasn't there to photograph a woman being beaten. in 1982, documentary photographer donna ferrato took the phot","['i', ""wasn't"", 'there', 'to', 'photograph', 'a', 'woman', 'being', 'beaten', 'in', '1982', 'documentary', 'photographer', 'donna', 'ferrato', 'took', 'the', 'phot']",18
Will Five Below Continue to Be Volatile in 2020?,2,9,will five below continue to be volatile in 2020,"['will', 'five', 'below', 'continue', 'to', 'be', 'volatile', 'in', '2020']",9
Dow Rallies on Signs Coronavirus Pandemic Is Slowing Worldwide https://t.co/9Jg08tQs6j,1,10,dow rallies on signs coronavirus pandemic is slowing worldwide,"['dow', 'rallies', 'on', 'signs', 'coronavirus', 'pandemic', 'is', 'slowing', 'worldwide']",9
Big lead for Airbus at Dubai Airshow,2,7,big lead for airbus at dubai airshow,"['big', 'lead', 'for', 'airbus', 'at', 'dubai', 'airshow']",7
$PSX pulling back to 50ma area and holding so far https://t.co/a5Lqh19guW,2,11,$PSX pulling back to 50ma area and holding so far,"['$PSX', 'pulling', 'back', 'to', '50ma', 'area', 'and', 'holding', 'so', 'far']",10
The first big check @Pitbull ever received actually bounced. 😳 https://t.co/aXoNe6DREk (via @CNBCMakeIt) https://t.co/Vsq5Hc3viC,2,14,the first big check ever received actually bounced. via,"['the', 'first', 'big', 'check', 'ever', 'received', 'actually', 'bounced', 'via']",9
Will smart machines kill jobs or create better ones? https://t.co/oGQFVeGoum,2,10,will smart machines kill jobs or create better ones,"['will', 'smart', 'machines', 'kill', 'jobs', 'or', 'create', 'better', 'ones']",9
"$IR: Ingersoll-Rand CFO Susan K. Carter to retire in 2020; Christopher J. Kuehn will succeed Carter as CFO,... https://t.co/5dI1ifM3Mo",2,19,"$IR ingersoll-rand cfo susan k. carter to retire in 2020 christopher j. kuehn will succeed carter as cfo,...","['$IR', 'ingersoll-rand', 'cfo', 'susan', 'k', 'carter', 'to', 'retire', 'in', '2020', 'christopher', 'j', 'kuehn', 'will', 'succeed', 'carter', 'as', 'cfo']",18
"When God Appears in Contracts, That’s ‘Force Majeure’ ",2,8,"when god appears in contracts, that s force majeure","['when', 'god', 'appears', 'in', 'contracts', 'that', 's', 'force', 'majeure']",9
"The story today that we are sending 12,000 troops to Saudi Arabia is false or, to put it more accurately, Fake News!",2,22,"the story today that we are sending 12,000 troops to saudi arabia is false or, to put it more accurately, fake news","['the', 'story', 'today', 'that', 'we', 'are', 'sending', '12,000', 'troops', 'to', 'saudi', 'arabia', 'is', 'false', 'or', 'to', 'put', 'it', 'more', 'accurately', 'fake', 'news']",22
"Stock Market Update: Asia closes mixed, Europe trades lower",2,9,"stock market update asia closes mixed, europe trades lower","['stock', 'market', 'update', 'asia', 'closes', 'mixed', 'europe', 'trades', 'lower']",9
"Introducing Cogent Communications Holdings (NASDAQ:CCOI), A Stock That Climbed 78% In The Last Five Years",1,15,"introducing cogent communications holdings nasdaq ccoi , a stock that climbed 78% in the last five years","['introducing', 'cogent', 'communications', 'holdings', 'nasdaq', 'ccoi', 'a', 'stock', 'that', 'climbed', '78%', 'in', 'the', 'last', 'five', 'years']",16
$WCAGY $WRCDF - The Most Recent News About Wirecard AG Is Not Really News - But Problematic Nonetheless. Follow thi… https://t.co/a0D2f2opx8,2,21,$WCAGY $WRCDF - the most recent news about wirecard ag is not really news - but problematic nonetheless. follow thi,"['$WCAGY', '$WRCDF', '-', 'the', 'most', 'recent', 'news', 'about', 'wirecard', 'ag', 'is', 'not', 'really', 'news', '-', 'but', 'problematic', 'nonetheless', 'follow', 'thi']",20
Thomson Resources : AGM - Chairman's Address #ThomsonResources #Stock #MarketScreener https://t.co/iWZBpJ0Eza https://t.co/DojMz764jO,2,12,thomson resources agm - chairman's address thomsonresources stock marketscreener,"['thomson', 'resources', 'agm', '-', ""chairman's"", 'address', 'thomsonresources', 'stock', 'marketscreener']",9
Is Cronos Group Inc. (CRON) A Good Stock To Buy?,2,10,is cronos group inc. cron a good stock to buy,"['is', 'cronos', 'group', 'inc', 'cron', 'a', 'good', 'stock', 'to', 'buy']",10
"Western Digital is ""flashing"" green, adding to the hope that the flash market  
is improving (WDC) https://t.co/9moaLxySqN $WDC",1,18,"western digital is flashing green, adding to the hope that the flash market is improving wdc $WDC","['western', 'digital', 'is', 'flashing', 'green', 'adding', 'to', 'the', 'hope', 'that', 'the', 'flash', 'market', 'is', 'improving', 'wdc', '$WDC']",17
London Stock Exchange : Notice of Event of Default #LondonStockExchange #Stock #MarketScreener… https://t.co/V5w1I8JGGD,2,13,london stock exchange notice of event of default londonstockexchange stock marketscreener,"['london', 'stock', 'exchange', 'notice', 'of', 'event', 'of', 'default', 'londonstockexchange', 'stock', 'marketscreener']",11
"$SUMRX: Gapping up/down: SMPL +9% after earnings/guidance, TSLA and INTC +4% after upgrades; TDY -1% after guidance… https://t.co/bvcn60OeNT",2,18,"$SUMRX gapping up down smpl 9% after earnings guidance, tsla and intc 4% after upgrades tdy -1% after guidance","['$SUMRX', 'gapping', 'up', 'down', 'smpl', '9%', 'after', 'earnings', 'guidance', 'tsla', 'and', 'intc', '4%', 'after', 'upgrades', 'tdy', '-1%', 'after', 'guidance']",19
$VMD - Viemed Healthcare (VMD) Investor Presentation - Slideshow. Follow this and any other stock on Seeking Alpha!… https://t.co/73LaruXZgL,2,19,$VMD - viemed healthcare vmd investor presentation - slideshow. follow this and any other stock on seeking alpha,"['$VMD', '-', 'viemed', 'healthcare', 'vmd', 'investor', 'presentation', '-', 'slideshow', 'follow', 'this', 'and', 'any', 'other', 'stock', 'on', 'seeking', 'alpha']",18
NTPC Q3 Results: Profit Meets Estimates As Other Income Rises,1,10,ntpc q3 results profit meets estimates as other income rises,"['ntpc', 'q3', 'results', 'profit', 'meets', 'estimates', 'as', 'other', 'income', 'rises']",10
Dow down over 500 points on fears about economic impact of deadly China coronavirus. https://t.co/N98FL8OzXG https://t.co/aQSepuWLn1,0,16,dow down over 500 points on fears about economic impact of deadly china coronavirus.,"['dow', 'down', 'over', '500', 'points', 'on', 'fears', 'about', 'economic', 'impact', 'of', 'deadly', 'china', 'coronavirus']",14
"Euro up 0.1% at $1.1080; British pound at $1.2947, down 0.1% against dollar",2,13,"euro up 0.1% at $1.1080 british pound at $1.2947, down 0.1% against dollar","['euro', 'up', '0.1%', 'at', '$1.1080', 'british', 'pound', 'at', '$1.2947', 'down', '0.1%', 'against', 'dollar']",13
"The Executive VP & Chief Commercial Officer of Corteva, Inc. (NYSE:CTVA), Timothy  Glenn, Just Bought 6.7% More Shares",2,18,"the executive vp chief commercial officer of corteva, inc. nyse ctva , timothy glenn, just bought 6.7% more shares","['the', 'executive', 'vp', 'chief', 'commercial', 'officer', 'of', 'corteva', 'inc', 'nyse', 'ctva', 'timothy', 'glenn', 'just', 'bought', '6.7%', 'more', 'shares']",18
